"outcome","observation","fitted","deviance_residual","pearson_residual","cooks_distance"
"away",1347,0.859551473675863,0.119016193048493,0.122134376698203,3.58883560004869e-07
"away",1348,1.08410635880062,1.68647204191756,2.05726603779825,0.00020869961320831
"away",1349,0.800459826429005,-1.02009694360767,-0.721317466292653,1.45692374002972e-05
"away",1350,1.01776416159341,0.692455558106703,0.784962441431572,2.50280867148779e-05
"away",1351,0.914922079896246,0.0706398793608584,0.0717102915513176,1.27139027372972e-07
"away",1352,0.780861782977701,0.191532171874672,0.199934489473969,1.08846560460638e-06
"away",1353,0.913453325706257,0.0997036119366814,0.101242348268543,3.37231134307486e-07
"away",1354,1.23532234660197,0.70525317597196,0.76920705063702,3.47488814080787e-05
"away",1355,0.844574009199008,0.1324612954266,0.136351985613525,4.69051755405709e-07
"away",1356,0.894741482270753,-1.07850077744616,-0.762615213247146,2.01141159202888e-05
"away",1357,0.84047668545848,0.177138510545851,0.182497816182149,4.01328863324206e-06
"away",1358,0.999661151442875,-1.58087092408178,-1.11784455059887,6.17442035915678e-05
"away",1359,0.950486782188963,1.04683235279351,1.20356590987248,7.37560052308597e-05
"away",1360,0.679614326061991,-0.939946074985469,-0.664642243571904,1.1447946476929e-05
"away",1361,0.650871148749777,1.07929073129762,1.34822568828112,5.79390493628318e-05
"away",1362,0.6249770548798,1.1120960975971,1.40227950637486,7.0178932351968e-05
"away",1363,1.04860702523537,0.66480744299948,0.749049014606653,1.56973354227856e-05
"away",1364,1.2160836488844,0.726475855149778,0.794772817464264,4.34058190628682e-05
"away",1365,1.16364113369838,-1.70560922671225,-1.20604785026257,8.44454050930501e-05
"away",1366,0.639053873433047,1.42335476970327,1.7855357114573,0.000147199459698045
"away",1367,0.830216257667665,-1.35147170405779,-0.955634806521002,3.50107901407051e-05
"away",1368,0.817102024887643,-1.34075518076673,-0.948057080231147,3.5639707284643e-05
"away",1369,1.00078815100022,-1.48382409071981,-1.04922207663594,6.1823019031377e-05
"away",1370,0.960660270362731,-1.45377185101308,-1.02797193414947,2.24310622221119e-05
"away",1371,1.56106094676419,-1.85319564074633,-1.31040720443708,0.00014247339821878
"away",1372,0.809541707824926,-1.33453803138571,-0.943660891744179,1.97822305999658e-05
"away",1373,1.21707155044448,-0.22706797269939,-0.219988439671409,2.89409258663194e-06
"away",1374,1.02904377700005,-1.50462497300826,-1.06393052155677,3.68107661532361e-05
"away",1375,0.762983511806493,-1.29559396647803,-0.916123279360995,4.38193620274416e-05
"away",1376,1.24443559761906,1.39473926364059,1.65054320019819,8.57715883418597e-05
"away",1377,1.43701411511948,1.19135516223859,1.36747967959428,7.69442246893779e-05
"away",1378,1.13907384621739,-1.58302320313957,-1.11936644171564,4.07853435984352e-05
"away",1379,0.899751179440232,0.108876266209832,0.110844564664784,6.81451360677762e-07
"away",1380,0.651839794359207,-1.19751724312857,-0.846772563204032,3.26001293084378e-05
"away",1381,0.95807530724969,-1.45181461486972,-1.02658795920012,2.52575158536932e-05
"away",1382,0.921123605779107,0.783110509491352,0.90629464330684,2.03212500134284e-05
"away",1383,1.1111582771304,-1.66670204080574,-1.17853631527119,7.33640133367345e-05
"away",1384,0.926917215796341,-1.09772144942843,-0.776206280744766,1.66611297791773e-05
"away",1385,0.914724375385992,-1.41858860345386,-1.00309362121618,5.51417039909534e-05
"away",1386,1.31708449854725,0.579295206912425,0.624103321989072,8.68143286168972e-06
